Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 165, 1, 24.462, 24.462, 24.717, 0.256, 21, 24.717, 28.882, 4.165, 1953, 0, 28.882, 29.649, 0.767, 1535,     5.188,
 125, 1, 19.465, 19.465, 19.491, 0.026, 52, 19.491, 29.865, 10.374, 1895, 0, 29.865, 29.875, 0.01, 8,    10.410,
 174, 1, 26.075, 26.075, 26.109, 0.034, 75, 26.109, 29.888, 3.779, 1203, 0, 29.888, 29.918, 0.03, 37,     3.843,
 189, 1, 29.322, 29.322, 29.522, 0.2, 402, 29.522, 30.261, 0.739, 1434, 0, 30.261, 30.289, 0.028, 56,     0.968,
 170, 1, 25.706, 25.706, 25.761, 0.055, 116, 25.761, 29.639, 3.878, 1028, 0, 29.639, 30.417, 0.779, 1558,     4.711,
 190, 1, 29.522, 29.522, 29.528, 0.006, 23, 29.528, 30.356, 0.828, 1111, 0, 30.356, 30.437, 0.082, 158,     0.916,
 183, 1, 27.999, 27.999, 28.114, 0.115, 192, 28.114, 28.828, 0.715, 1132, 0, 28.828, 30.551, 1.723, 3446,     2.552,
 194, 1, 29.888, 29.888, 29.919, 0.031, 63, 29.919, 30.76, 0.841, 1529, 0, 30.76, 30.783, 0.023, 46,     0.895,
 179, 1, 27.152, 27.152, 27.178, 0.027, 34, 27.178, 30.649, 3.47, 1349, 0, 30.649, 30.883, 0.234, 469,     3.731,
 195, 1, 30.125, 30.125, 30.125, 0, 4, 30.125, 30.854, 0.73, 1442, 0, 30.854, 30.894, 0.04, 76,     0.770,
 176, 1, 26.311, 26.311, 26.318, 0.007, 20, 26.318, 30.146, 3.828, 1470, 0, 30.146, 31.001, 0.855, 1722,     4.690,
 198, 1, 30.451, 30.451, 30.506, 0.055, 85, 30.506, 31.233, 0.728, 1947, 0, 31.233, 31.307, 0.074, 147,     0.856,
 187, 1, 28.729, 28.729, 28.739, 0.01, 12, 28.739, 31.421, 2.683, 1984, 0, 31.421, 31.431, 0.01, 19,     2.703,
 200, 1, 30.67, 30.67, 30.717, 0.047, 79, 30.717, 31.492, 0.775, 1593, 0, 31.492, 31.502, 0.01, 2,     0.832,
 132, 1, 20.664, 20.664, 20.69, 0.026, 45, 20.69, 31.645, 10.954, 1211, 0, 31.645, 31.68, 0.036, 66,    11.016,
 202, 1, 30.773, 30.773, 31.105, 0.332, 227, 31.105, 31.822, 0.717, 1371, 0, 31.822, 31.884, 0.062, 124,     1.111,
 203, 1, 30.857, 30.857, 31.119, 0.263, 21, 31.119, 31.95, 0.831, 1758, 0, 31.95, 31.95, 0, 11,     1.094,
 206, 1, 31.405, 31.405, 31.415, 0.01, 8, 31.415, 32.202, 0.787, 1237, 0, 32.202, 32.283, 0.08, 161,     0.877,
 192, 1, 29.614, 29.614, 29.624, 0.01, 5, 29.624, 32.172, 2.548, 1919, 0, 32.172, 32.34, 0.168, 336,     2.726,
 207, 1, 31.589, 31.589, 31.599, 0.01, 27, 31.599, 32.372, 0.773, 1714, 0, 32.372, 32.406, 0.033, 67,     0.816,
 208, 1, 31.698, 31.698, 31.725, 0.027, 51, 31.725, 32.452, 0.727, 1444, 0, 32.452, 32.474, 0.022, 44,     0.776,
